City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,lompoc,34.6391,-120.4579,297.47,95,100,0.45,US,1691299316
218,tranovaho,34.6391,-120.4579,297.47,95,100,0.45,US,1691299316
219,kyabe,9.4515,18.9449,295.4,95,100,1.39,TD,1691299317
220,ola,59.5833,151.2833,297.12,53,8,1.33,RU,1691299317
221,kabwe,-14.4469,28.4464,285.37,81,0,3.23,ZM,1691299317
222,port blair,11.6667,92.75,303.17,74,40,6.17,IN,1691299317
223,ulsteinvik,62.3432,5.8487,287.21,82,99,2.24,NO,1691299317
224,cananeia,-25.0147,-47.9267,290.07,94,5,1.19,BR,1691299318
225,yanqul,23.5905,56.5501,309.2,30,33,0.45,OM,1691299318
226,mili,6.0815,171.735,301.81,75,50,5.5,MH,1691299318
227,yatou,37.15,122.3833,300.51,62,90,7.06,CN,1691299318
228,batu pahat,1.8548,102.9325,303.63,62,6,3.35,MY,1691299318
229,namibe,-15.1961,12.1522,291.26,73,0,0.66,AO,1691299319
230,sarandi del yi,-33.35,-55.6333,287.81,94,100,4.81,UY,1691299319
231,tura,25.5198,90.2201,298.01,98,100,0.97,IN,1691299319
232,i-n-salah,27.1935,2.4607,306.08,28,0,7.56,DZ,1691299319
233,margaret river,-33.95,115.0667,288.51,60,84,1.99,AU,1691299320
234,tralee,52.2704,-9.7026,285.48,92,72,3.29,IE,1691299320
235,holualoa,19.6228,-155.9522,299.06,75,75,2.57,US,1691299320
236,banaz,38.7371,29.7519,297.92,50,0,0.93,TR,1691299320
237,nouadhibou,20.931,-17.0347,294.14,83,32,8.23,MR,1691299320
238,verkhovazh'ye,60.7472,42.0465,294.01,63,36,1.63,RU,1691299321
239,tabou,4.423,-7.3528,297.36,85,100,4.33,CI,1691299321
240,talnakh,69.4865,88.3972,297.71,34,33,0.58,RU,1691299321
241,badger,64.8,-147.5333,300.1,49,0,1.54,US,1691299321
242,hudson,40.7168,-74.0663,298.36,63,0,3.58,US,1691299321
243,paita,-5.0892,-81.1144,293.99,81,10,5.94,PE,1691299322
244,yuzhno-kurilsk,44.0306,145.8556,287.04,96,100,3.69,RU,1691299322
245,celestun,20.8667,-90.4,300.25,81,17,5.12,MX,1691299322
246,christchurch,-43.5333,172.6333,282.56,82,20,4.12,NZ,1691299274
247,horta,38.5333,-28.6333,295.38,76,100,0.89,PT,1691299322
248,kirkland lake,48.1446,-80.0377,280.31,100,0,0.0,CA,1691299026
249,almeirim,-1.5233,-52.5817,297.43,78,22,1.72,BR,1691299323
250,bermeo,43.4209,-2.7215,291.62,79,99,3.5,ES,1691299323
251,romulus,42.2223,-83.3966,294.72,78,20,3.6,US,1691299323
252,yuanlin,30.4151,112.8859,307.92,62,94,3.19,CN,1691299324
253,porangatu,-13.4408,-49.1486,296.74,36,0,0.59,BR,1691299324
254,hilo,19.7297,-155.09,297.0,86,100,2.57,US,1691299324
255,tenenkou,14.4572,-4.9169,299.24,74,100,4.5,ML,1691299277
256,mount pearl,47.5166,-52.7813,288.13,87,75,3.09,CA,1691299324
257,rio claro,-22.4114,-47.5614,288.19,51,0,0.68,BR,1691299325
258,aioun,16.6614,-9.6149,305.99,41,97,5.28,MR,1691299325
259,weno,7.4515,151.8468,299.86,85,100,11.73,FM,1691299325
260,xinyuan,37.3,99.0,288.74,55,34,3.08,CN,1691299325
261,bel ombre,-4.6167,55.4167,300.06,74,40,7.72,SC,1691299325
262,tatarsk,55.219,75.9828,297.52,41,5,5.48,RU,1691299326
263,kill devil hills,36.0307,-75.676,297.03,96,0,0.0,US,1691299326
